Label,Round,Method,Noise Scale,Accuracy,Loss,MSE,PSNR,SSIM,Seed
0,50,loss,0.0,92.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.0,92.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.01,92.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.01,92.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.02,96.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.02,96.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.03,98.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.03,98.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.04,96.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.04,96.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.05,90.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.05,90.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.06,90.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.06,90.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.07,84.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.07,84.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.08,90.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.08,90.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.09,88.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.09,88.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
0,50,loss,0.1,82.0,0.04376496449570393,3990.1830213864864,12.120875445407401,0.334483417003808,15
0,50,naive,0.1,82.0,0.8852831456224957,7180.782951783121,9.569085610405443,0.16016563452720103,15
