Label,Round,Method,Noise Scale,Accuracy,Loss,MSE,PSNR,SSIM
0,10,loss,0.0,36.0,2.275739624205408,5262.469675341277,10.918907546122892,0.0372368367384725
0,10,naive,0.0,36.0,0.1157057798158917,9870.011386894854,8.187627071584815,0.1332526188547936
0,20,loss,0.0,48.0,0.6419814943773587,4116.755916601942,11.985252425260818,0.4922553514830719
0,20,naive,0.0,48.0,0.4197721099615913,7584.652104332069,9.331446956705287,0.2788351779308675
0,30,loss,0.0,78.0,0.110874124297631,4323.737580965087,11.77221033264071,0.4378156647306885
0,30,naive,0.0,78.0,0.7941797274579829,7587.295997319453,9.329933336781078,0.2486582865057605
0,40,loss,0.0,90.0,0.0391408015072035,5315.919675757753,10.875019507941166,0.3076793139323344
0,40,naive,0.0,90.0,0.9681000065268728,8674.702860690084,8.748257532750587,0.1906267394324514
0,50,loss,0.0,96.0,0.024586248207568,3962.974734892021,12.150590572775906,0.2495194423588145
0,50,naive,0.0,96.0,0.9850870235787152,8401.758880515194,8.887101471703806,0.1902564851776359
0,10,loss,0.01,30.0,2.3068909056821734,6787.6655267681,9.813599272602596,0.053030873321193
0,10,naive,0.01,30.0,0.1132997589429204,9608.569452582298,8.304216272156058,0.1119180778406134
0,20,loss,0.01,56.00000000000001,0.4053988701326574,5971.142554236554,10.370229212755994,0.3662839616457841
0,20,naive,0.01,56.00000000000001,0.5111637088619339,8793.480834086282,8.689195395145475,0.2183138881867597
0,30,loss,0.01,78.0,0.0788985966612788,6056.910825116591,10.308291812024429,0.3068079198212566
0,30,naive,0.01,78.0,0.8544789037975373,8692.513828961708,8.73934970590902,0.1681236985263127
0,40,loss,0.01,92.0,0.0300151278636848,6101.820088003239,10.276209625335497,0.2498731113015005
0,40,naive,0.01,92.0,0.9748385692267678,8898.279316306089,8.637743267714011,0.1733152679096428
0,50,loss,0.01,100.0,0.0176505446250623,6245.437143957903,10.175175190281491,0.2231167107200638
0,50,naive,0.01,100.0,0.9947428915783288,8850.24334294868,8.661251488088528,0.1805549812686549
0,10,loss,0.02,34.0,1.9463869270564629,8463.250864634454,8.855431466014464,0.0574345043553597
0,10,naive,0.02,34.0,0.1710827768078774,9398.56267341806,8.400189190482282,0.1515299946377665
0,20,loss,0.02,70.0,0.2352191236107929,6999.634430502438,9.680050021338497,0.2702302159575728
0,20,naive,0.02,70.0,0.6442566759139542,9175.60725288826,8.504455448537097,0.1700841104768423
0,30,loss,0.02,82.0,0.0669485636063973,6828.247301942681,9.78771119086589,0.2356300009504029
0,30,naive,0.02,82.0,0.9096620334784338,9345.038031728014,8.424992876906728,0.1506870633309085
0,40,loss,0.02,86.0,0.0211712738662121,7051.491933426031,9.647993474360826,0.1600076874812146
0,40,naive,0.02,86.0,0.9895716399077016,9397.343741214836,8.400752478592722,0.1225318976079304
0,50,loss,0.02,98.0,0.0111490269199423,4523.175189768775,11.576369518802451,0.1410596598469272
0,50,naive,0.02,98.0,0.9989509013791732,8658.306020006452,8.756474293732786,0.1824916159484322
0,10,loss,0.03,32.0,0.8970837299236148,9482.917827895306,8.361383735741173,0.1201356197682854
0,10,naive,0.03,32.0,0.2995740641438546,9456.836120273185,8.373344977571518,0.1456087968853717
0,20,loss,0.03,74.0,0.1833948744041791,8063.29246014707,9.065679486780589,0.1992818741019331
0,20,naive,0.03,74.0,0.7113064440678489,9774.065143864784,8.23005131605804,0.1309615910647548
0,30,loss,0.03,84.0,0.0699627279091485,7625.147904920651,9.308320887614927,0.1788815795967697
0,30,naive,0.03,84.0,0.9113323492160752,9360.507667511734,8.417809575122748,0.1365652439270637
0,40,loss,0.03,88.0,0.0174161096186705,7768.31287684145,9.227536519559443,0.1065255822632256
0,40,naive,0.03,88.0,0.9924035377230768,9677.8212338889,8.27302765192086,0.0989927009939128
0,50,loss,0.03,98.0,0.0080076085686847,7708.754067379663,9.260961702861415,0.0947406290156759
0,50,naive,0.03,98.0,0.9990044864263716,9090.467892065652,8.54494123662152,0.117084712147064
0,10,loss,0.04,36.0,0.2866426051357302,10206.55003811304,8.04201391807956,0.1259248932702431
0,10,naive,0.04,36.0,0.4912090663254611,9318.068732452632,8.437544512769774,0.1511950990665529
0,20,loss,0.04,74.0,0.115084710753969,8241.418552819912,8.970783898700072,0.1489006725467473
0,20,naive,0.04,74.0,0.8012204385796079,9904.1984697468,8.172610262988716,0.1026821121276034
0,30,loss,0.04,84.0,0.0506421799619645,8153.213911391236,9.017515240488311,0.1321625431437373
0,30,naive,0.04,84.0,0.9506668298281408,9913.56995855567,8.168502851808682,0.1023566964612164
0,40,loss,0.04,90.0,0.0119999755525807,7894.583454113523,9.157511408177614,0.0858423293898173
0,40,naive,0.04,90.0,0.9990060532790608,10447.18324228959,7.940811486245089,0.0789801270656048
0,50,loss,0.04,94.0,0.0114648301962747,8064.640470379555,9.064953499874017,0.0959144885774946
0,50,naive,0.04,94.0,0.9990012074768788,10020.107544430164,8.122079780889855,0.10955556274382
0,10,loss,0.05,38.0,0.1288455346170752,9869.552687228912,8.187828910625491,0.1163015395361347
0,10,naive,0.05,38.0,0.6741018733958536,9383.97848537087,8.406933574654058,0.1441230435020027
0,20,loss,0.05,74.0,0.0628985731589426,8423.049490435385,8.876110084299814,0.1082650342975942
0,20,naive,0.05,74.0,0.8772476440364426,10386.533440881549,7.966097371513331,0.0695456985842817
0,30,loss,0.05,80.0,0.0293598270155198,8304.789498334889,8.937517320118863,0.0898268738971684
0,30,naive,0.05,80.0,0.979156128572286,7857.550624050543,9.177931731286614,0.0834196735780266
