Label,Round,Method,Noise Scale,Accuracy,Loss,MSE,PSNR,SSIM,Seed
0,50,loss,0.0,92.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.0,92.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.01,92.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.01,92.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.02,96.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.02,96.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.03,98.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.03,98.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.04,96.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.04,96.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.05,90.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.05,90.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.06,90.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.06,90.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.07,84.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.07,84.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.08,90.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.08,90.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.09,88.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.09,88.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.1,82.0,0.0437649644957039,3990.1830213864864,12.1208754454074,0.334483417003808,15
0,50,naive,0.1,82.0,0.8852831456224957,7180.782951783121,9.569085610405445,0.160165634527201,15
0,50,loss,0.0,98.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.0,98.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.01,98.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.01,98.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.02,96.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.02,96.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.03,90.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.03,90.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.04,96.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.04,96.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.05,88.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.05,88.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.06,96.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.06,96.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.07,90.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.07,90.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.08,80.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.08,80.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.09,94.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.09,94.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.1,96.0,0.0323110495535841,4451.454471919545,11.645784249608097,0.2671158590399404,16
0,50,naive,0.1,96.0,0.9560423737759716,8906.470349615494,8.633747344283389,0.1818332196151406,16
0,50,loss,0.0,94.0,0.0820283239222317,3872.557082370032,12.25082532790286,0.349725275350727,17
0,50,naive,0.0,94.0,0.8437976440753421,7218.318880710701,9.546442970715445,0.1757541962509133,17
0,50,loss,0.01,96.0,0.0820283239222317,3872.557082370032,12.25082532790286,0.349725275350727,17
0,50,naive,0.01,96.0,0.8437976440753421,7218.318880710701,9.546442970715445,0.1757541962509133,17
0,50,loss,0.02,96.0,0.0820283239222317,3872.557082370032,12.25082532790286,0.349725275350727,17
0,50,naive,0.02,96.0,0.8437976440753421,7218.318880710701,9.546442970715445,0.1757541962509133,17
0,50,loss,0.03,94.0,0.0820283239222317,3872.557082370032,12.25082532790286,0.349725275350727,17
0,50,naive,0.03,94.0,0.8437976440753421,7218.318880710701,9.546442970715445,0.1757541962509133,17
0,50,loss,0.04,96.0,0.0820283239222317,3872.557082370032,12.25082532790286,0.349725275350727,17
0,50,naive,0.04,96.0,0.8437976440753421,7218.318880710701,9.546442970715445,0.1757541962509133,17
